FL_DATE;CARRIER;FL_NUM;ORIGIN;DEST;DEP_DELAY;ARR_DELAY
01.01.2016;AA;45;JFK;SEA;-60;-250
02.01.2016;AA;45;JFK;SEA;640;560
03.01.2016;AA;45;JFK;SEA;310;560
04.01.2016;AA;45;JFK;SEA;460;370
05.01.2016;AA;45;JFK;SEA;60;-180
06.01.2016;AA;45;JFK;SEA;20;-250
07.01.2016;AA;45;JFK;SEA;0;-250
08.01.2016;AA;45;JFK;SEA;-80;-460
09.01.2016;AA;45;JFK;SEA;600;340
10.01.2016;AA;45;JFK;SEA;1220;930
11.01.2016;AA;45;JFK;SEA;20;80
12.01.2016;AA;45;JFK;SEA;440;700
13.01.2016;AA;45;JFK;SEA;70;290
14.01.2016;AA;45;JFK;SEA;0;140
15.01.2016;AA;45;JFK;SEA;;
16.01.2016;AA;45;JFK;SEA;-30;-90
17.01.2016;AA;45;JFK;SEA;610;660
18.01.2016;AA;45;JFK;SEA;-20;-110
19.01.2016;AA;45;JFK;SEA;30;100
20.01.2016;AA;45;JFK;SEA;0;-20
21.01.2016;AA;45;JFK;SEA;-50;-100
22.01.2016;AA;45;JFK;SEA;140;-30
23.01.2016;AA;45;JFK;SEA;;
24.01.2016;AA;45;JFK;SEA;;
25.01.2016;AA;45;JFK;SEA;;
26.01.2016;AA;45;JFK;SEA;-40;0
27.01.2016;AA;45;JFK;SEA;180;180
28.01.2016;AA;45;JFK;SEA;10;-40
29.01.2016;AA;45;JFK;SEA;-10;-50
30.01.2016;AA;45;JFK;SEA;-40;-210
31.01.2016;AA;45;JFK;SEA;-20;-220
01.01.2016;AA;65;JFK;MIA;80;580
02.01.2016;AA;65;JFK;MIA;0;-100
03.01.2016;AA;65;JFK;MIA;-30;160
04.01.2016;AA;65;JFK;MIA;-30;-120
05.01.2016;AA;65;JFK;MIA;-50;100
06.01.2016;AA;65;JFK;MIA;-10;240
07.01.2016;AA;65;JFK;MIA;720;490
08.01.2016;AA;65;JFK;MIA;1380;1650
09.01.2016;AA;65;JFK;MIA;-50;460
10.01.2016;AA;65;JFK;MIA;-30;-120
11.01.2016;AA;65;JFK;MIA;-30;140
12.01.2016;AA;65;JFK;MIA;300;280
13.01.2016;AA;65;JFK;MIA;120;270
14.01.2016;AA;65;JFK;MIA;-30;-60
15.01.2016;AA;65;JFK;MIA;20;320
16.01.2016;AA;65;JFK;MIA;470;340
17.01.2016;AA;65;JFK;MIA;-20;-50
18.01.2016;AA;65;JFK;MIA;0;240
19.01.2016;AA;65;JFK;MIA;-50;-190
20.01.2016;AA;65;JFK;MIA;120;-20
21.01.2016;AA;65;JFK;MIA;-10;100
22.01.2016;AA;65;JFK;MIA;-10;-40
23.01.2016;AA;65;JFK;MIA;;
24.01.2016;AA;65;JFK;MIA;;
25.01.2016;AA;65;JFK;MIA;1490;1300
26.01.2016;AA;65;JFK;MIA;-10;-40
27.01.2016;AA;65;JFK;MIA;-20;480
28.01.2016;AA;65;JFK;MIA;-10;340
29.01.2016;AA;65;JFK;MIA;-20;-50
30.01.2016;AA;65;JFK;MIA;70;-150
31.01.2016;AA;65;JFK;MIA;-30;-230
02.01.2016;AA;67;JFK;AUS;100;-100
03.01.2016;AA;67;JFK;AUS;0;90
04.01.2016;AA;67;JFK;AUS;-30;-300
05.01.2016;AA;67;JFK;AUS;-40;-340
06.01.2016;AA;67;JFK;AUS;-10;-320
07.01.2016;AA;67;JFK;AUS;-20;-280
08.01.2016;AA;67;JFK;AUS;20;-160
09.01.2016;AA;67;JFK;AUS;230;270
10.01.2016;AA;67;JFK;AUS;2020;1820
11.01.2016;AA;67;JFK;AUS;-40;10
12.01.2016;AA;67;JFK;AUS;-50;-240
13.01.2016;AA;67;JFK;AUS;-30;-240
14.01.2016;AA;67;JFK;AUS;0;-250
15.01.2016;AA;67;JFK;AUS;1690;1510
16.01.2016;AA;67;JFK;AUS;170;140
17.01.2016;AA;67;JFK;AUS;190;380
18.01.2016;AA;67;JFK;AUS;-60;-220
19.01.2016;AA;67;JFK;AUS;180;160
20.01.2016;AA;67;JFK;AUS;-70;-260
21.01.2016;AA;67;JFK;AUS;-10;-120
22.01.2016;AA;67;JFK;AUS;70;-320
23.01.2016;AA;67;JFK;AUS;;
24.01.2016;AA;67;JFK;AUS;;
25.01.2016;AA;67;JFK;AUS;;
26.01.2016;AA;67;JFK;AUS;-40;40
27.01.2016;AA;67;JFK;AUS;-20;-180
28.01.2016;AA;67;JFK;AUS;-20;-350
29.01.2016;AA;67;JFK;AUS;10;-290
30.01.2016;AA;67;JFK;AUS;-10;-270
31.01.2016;AA;67;JFK;AUS;-30;-260
01.01.2016;AA;75;JFK;MCO;-40;170
02.01.2016;AA;75;JFK;MCO;60;20
03.01.2016;AA;75;JFK;MCO;-70;0
04.01.2016;AA;75;JFK;MCO;-30;-40
05.01.2016;AA;75;JFK;MCO;770;710
06.01.2016;AA;75;JFK;MCO;-60;70
07.01.2016;AA;75;JFK;MCO;-60;-190
08.01.2016;AA;75;JFK;MCO;-40;80
09.01.2016;AA;75;JFK;MCO;1870;1890
10.01.2016;AA;75;JFK;MCO;1870;1990
11.01.2016;AA;75;JFK;MCO;-30;110
12.01.2016;AA;75;JFK;MCO;-10;-60
13.01.2016;AA;75;JFK;MCO;-50;-30
14.01.2016;AA;75;JFK;MCO;0;-130
15.01.2016;AA;75;JFK;MCO;80;140
16.01.2016;AA;75;JFK;MCO;60;140
17.01.2016;AA;75;JFK;MCO;-70;500
18.01.2016;AA;75;JFK;MCO;-70;20
19.01.2016;AA;75;JFK;MCO;-60;-150
20.01.2016;AA;75;JFK;MCO;-50;-190
21.01.2016;AA;75;JFK;MCO;-20;140
22.01.2016;AA;75;JFK;MCO;500;490
23.01.2016;AA;75;JFK;MCO;;
24.01.2016;AA;75;JFK;MCO;;
25.01.2016;AA;75;JFK;MCO;30;-60
26.01.2016;AA;75;JFK;MCO;-10;-150
27.01.2016;AA;75;JFK;MCO;-60;-70
28.01.2016;AA;75;JFK;MCO;-10;80
29.01.2016;AA;75;JFK;MCO;-60;-310
30.01.2016;AA;75;JFK;MCO;290;210
31.01.2016;AA;75;JFK;MCO;-60;-220
31.01.2016;AA;196;JFK;STT;-60;-240
01.01.2016;AA;199;JFK;BOS;70;-60
02.01.2016;AA;199;JFK;BOS;-10;-10
03.01.2016;AA;199;JFK;BOS;10;110
04.01.2016;AA;199;JFK;BOS;70;230
